Var1	Var2
7	5
-8.92207363546258	-15
-10	-15.8978129440862
-11.8283514385577	-15
-10	-11.8372936176396
-8.92207363546258	-15
7.5	5
-1.28262567400976	-20
-1.59743526044966	-15
0	-14.1427821870272
0.949909581007021	-15
0.945762402463827	-20
7.5	9
-7.22567063422338	-15
-10	-17.3107597120713
-14.7057473068926	-15
-12.4985126887485	-10
-10	-8.19000539369177
-5	-8.26816033071089
-4.37164863016194	-10
-5	-11.2295971657823
-7.22567063422338	-15
7.5	7
10.5735088915297	-15
10	-17.1701005708192
9.31084105240107	-15
7.7015049168768	-10
10	-7.15190625393527
11.6708870309208	-10
10.5735088915297	-15
7.5	5
1.69450738878272	-5
0	-6.06908523837973
-2.50335520317638	-5
0	-2.15441802802581
1.69450738878272	-5
7.5	5
22.2908634822382	0
20	-1.22857996137065
19.3528542215516	0
20	0.635005965333289
22.2908634822382	0
7.5	5
-4.65308114467882	5
-5	4.56867295634879
-5.54833926991372	5
-5	5.64513774659149
-4.65308114467882	5
7.5	5
15.9868300650762	10
15	8.15851877826259
14.5453349771176	10
15	11.4360462381514
15.9868300650762	10
7.5	5
40.1320515385282	10
40	9.90233818047781
39.7686264098457	10
40	10.1259044907407
40.1320515385282	10
8	3
-6.3699497950264	-20
-10	-18.7237064800565
-13.610737591969	-20
8	3
34.467809698431	-20
35	-17.7614735881408
35.1332938140398	-20
8	2
43.5177069133476	-20
45	-17.7710680997889
8	3
45	-6.52158696005004
42.0388170728092	-5
45	-4.15434868501734
8	24
-15	-0.835255477678393
-10.6035623288597	-5
-10	-5.32095850889775
-8.16272376108678	-5
-5	-4.532679788171
-0.858242089437004	0
0	0.641119150274704
0.884200001459513	0
3.78753575642217	-5
0	-7.38960218989377
-2.90307541698637	-10
0	-12.7510923549778
2.49208414299985	-15
5	-19.923915282668
7.66937907895202	-15
5.27854814436565	-10
8.35803692792247	-5
9.15155743785617	0
10	0.625753063230805
10.8143290644118	0
13.4842234563202	-5
13.4322512719831	-10
11.9395116694965	-15
12.662219359207	-20
8	2
-14.1877105908493	30
-15	29.0834506325487
8	3
2.69490938642178	30
0	28.5226393647329
-1.4564316566147	30
8	3
27.8168285936491	30
25	28.7680663476281
24.4753143616785	30
8	5
-5.52926763298418	-15
-5	-17.389345403246
-4.19086527984603	-15
-5	-14.1033928593125
-5.52926763298418	-15
8	5
22.7137727798543	-15
20	-16.7474761279968
18.5345233129725	-15
20	-12.9255274682258
22.7137727798543	-15
8	29
25.6396909495816	0
25	-1.44424692554032
20	-4.08549158460868
17.8479962924705	0
20	2.11163425183261
24.6526554621411	5
20	9.76814593481412
16.2009580025503	5
15	3.76866046968141
14.0314592120007	5
12.501983687921	10
13.8635612005469	15
15	15.9604866391975
18.8422702516134	20
20	20.8632796841319
21.5522674024672	20
20.4752335279946	15
25	10.455963919821
30	11.1973792619862
31.5023435530959	15
35	18.0624754737349
38.2326162019937	15
40	13.6442910803276
43.8222166752807	10
40	7.17318980697714
35	9.60580797172763
30	7.63951906454471
27.8903198143732	5
25.6396909495816	0
8	5
-3.37176259020195	5
-5	2.97559914210973
-7.57358889215834	5
-5	8.02790522152677
-3.37176259020195	5
