x	BIC-Schwarz	BIC-Skew-Schwarz	True-K	True-K-skew
0	30.2467044249857	40.8669228212217	20.5908054246473	28.9155687649858
0.02	21.8276153040394	16.6087724418925	18.0145062213468	16.6087724418925
0.04	34.6961923657509	34.2690945562695	41.7856467325145	36.3999182639005
0.06	45.88194945363	29.7625190201824	36.0016981693662	62.5400858122311
0.08	36.4930675651252	49.3747598364102	71.7151185714684	79.5751221062771
