x	EM: Gaus	EM: t	EM: Huber
0	20.346615538403	30.2467044249857	17.0322280555507
0.02	37.7212167938602	21.8276153040394	14.8553638452808
0.04	37.2927320537477	34.6961923657509	28.3064708677984
0.06	39.3145685558498	45.88194945363	29.5007444090324
0.08	39.4924736452329	36.4930675651252	40.0001448041908
