Var1	Var2
50	19
-15	-4.08030634685437
-11.2712751898414	0
-10	0.713380605415914
-5.67155077376332	5
-5	5.61475234907125
0	6.81174285147706
4.4409926983902	10
5	10.4372016133575
9.91853551431011	15
10	15.0714209257185
15	15.9593942663089
20	16.9525472572311
24.0059898246964	20
25	20.628530269031
30	21.9495329406438
34.6697220236155	25
35	25.2029211113821
40	26.2023905757016
45	27.3504083349875
50	19
45	14.7796904813065
40	13.0535451649789
35.7455450444445	10
35	9.65844991004331
30	7.86173949986686
25	6.57420937491777
23.019731098651	5
20	3.74738553914526
16.1413946002435	0
15	-1.27525803056294
11.7384391983474	-5
11.6577612436491	-10
10	-14.1791204629383
5	-10.0686000968744
4.88142865579791	-10
0	-6.68610864853875
-5	-9.16577726705922
-10	-7.37527682185436
-15	-7.27197878820669
100	18
-15	-0.834676561165789
-14.237243741643	0
-10	2.37774443319804
-7.35215585189129	5
-5	7.1532152025209
0	9.65904484266401
0.474923851392953	10
5	13.539078267921
6.57482203112321	15
10	18.0028960376567
15	19.6129244018579
16.6869059753065	20
20	20.7026341949456
25	23.827151044225
29.4414412856542	25
30	25.5492531670043
35	28.2106712654929
39.0204010523524	30
100	20
45	11.471817608557
40.42606993786	10
40	9.91378348157069
35	7.62511711753742
30.6267662834751	5
30	4.63568313849408
25	3.01737800607683
20	1.08388117994623
18.8839499619276	0
15	-4.33946189880016
14.4216014970838	-5
14.2701773974233	-10
11.6312995437575	-15
10	-17.3753897091908
6.44359519667882	-15
5	-13.707152739752
0	-10.5967508581434
-5	-12.0443742812689
-10	-11.5401371772514
-15	-12.5541487516742
150	7
3.2916953977966	-20
2.5131353146849	-15
0	-13.2629771629042
-5	-14.3746467248253
-10	-13.8807814945486
-12.8247669753612	-15
-15	-16.2951733131252
150	15
-15	0.899671521766141
-10	4.04210826098016
-9.03276093001925	5
-5	8.69167805597055
-2.54311170777294	10
0	14.6426367969185
0.567689440714539	15
5	16.1457087211038
9.24052957675725	20
10	21.2391923326101
15	21.8043537712675
20	24.079418319496
21.5046171560819	25
25	29.4784115552209
25.526798781025	30
150	13
45	8.91289240915885
40	7.83363697267207
35	5.59178432503153
34.0141349710269	5
30	2.66672666851628
25	0.150643965098932
24.5930290232829	0
20	-4.9041221024995
19.9271719618391	-5
16.3734814871629	-10
15	-12.3576644480784
13.4948853679149	-15
10.2187237191866	-20
200	2
-13.1944610835937	-20
-15	-19.8126017282403
200	15
-15	2.11081102405073
-10.7552888923903	5
-10	5.6118926848172
-5.23420360514377	10
-5	10.477096946029
-1.98317736937007	15
0	18.7280061223675
5	18.3114276486787
6.85778408535934	20
9.88314480813934	25
10	25.1863807536234
10.2651158994117	25
15	23.8225238706898
17.2254733071376	25
18.1770902521994	30
200	12
45	6.95433823073378
40	5.75349046377344
38.309215901988	5
35	3.30979092403816
30	0.697770198538474
28.6389008577082	0
25	-3.42169973877707
23.4670462778861	-5
20	-7.61323415839866
18.2794187627326	-10
15.8757468272129	-15
16.5125871928259	-20
250	11
-15	3.32195052633532
-12.5346592766079	5
-10	7.053438737795
-6.79982506534149	10
-5	13.6664296501058
-4.11049492702132	15
-2.25176673491566	20
0	21.9662617804333
5	21.8816348812801
6.30607638233939	25
9.43778659810905	30
250	10
45	4.99464146634417
40	3.61391665099377
35	0.925717396239548
33.1222078697809	0
30.320442056596	-5
30	-5.60456874571405
25	-9.17448540000183
22.3312639556471	-10
20.4703550851355	-15
21.3635239819012	-20
250	3
11.3279115797721	30
15	27.4539405586464
15.9587614798484	30
300	13
-15	4.53309002861991
-14.3140296608256	5
-10	8.49498479077279
-8.36544652553921	10
-6.69425873614036	15
-6.42274310332934	20
-6.35373883787443	25
-5	26.0642764809833
-0.873825978256949	25
0	24.849685748767
0.379403500568957	25
5	28.6547369919976
5.84062042278568	30
300	9
45	2.50528930869294
40	1.44059037695884
37.3996852639665	0
35	-1.38775770421424
32.1256633806112	-5
30	-9.01042752464478
28.7680413662628	-10
26.1653979269321	-15
25.3162079603231	-20
350	9
45	0.015937151041704
44.906824372608	0
40	-1.02467372909549
35	-3.65641920192313
33.9308847046264	-5
31.776354714613	-10
31.6825428481157	-15
30	-19.5128628059594
29.6744678674766	-20
350	9
-15	6.23963853859066
-10	9.93653084375058
-9.93106798573693	10
-9.60602962327017	15
-10	15.9480727411897
-10.9673708951469	20
-10.7711130386577	25
-10	25.9924732525944
-5.30922736455532	30
400	9
45	-6.83798365545668
41.8590080061327	-5
40	-4.0639002043412
37.8484321505067	-5
35	-7.93254206982921
34.2802025782983	-10
34.1141004104022	-15
35	-18.6427646530857
35.2928209055197	-20
400	7
-15	8.25699358874136
-12.6263280828511	10
-12.9171827251145	15
-12.6402581343771	20
-13.0594232395592	25
-10	28.9376791487197
-8.75656336355735	30
450	6
45	-10.6259893038115
44.1075486568425	-10
40	-7.94742856394341
37.9827076053512	-10
37.1965662558423	-15
37.4499596840502	-20
450	3
-15	17.411879062489
-14.3131453736074	20
-15	23.6493361628896
500	3
45	-17.2841900621656
40	-17.5443052180363
39.6070984625807	-20
