x	EM: Gaus	EM: t	EM: Huber
0	12.1600349008764	28.9155687649858	8.92809371592638
0.02	80.4313812159714	16.6087724418925	10.1664390941154
0.04	82.1102032566464	36.3999182639005	14.5940864176697
0.06	84.206782005238	62.5400858122311	35.3553495690228
0.08	85.643062114227	79.5751221062771	60.8405635884277
