x	BIC-Schwarz	BIC-Skew-Schwarz	True-K	True-K-skew
0	17.0322280555507	8.92809371592638	21.1272552362111	8.92809371592638
0.02	14.8553638452808	10.1664390941154	18.733873161937	10.1664390941154
0.04	28.3064708677984	18.3215306860332	28.6321651415199	14.5940864176697
0.06	29.5007444090324	33.5801465379151	35.9305166623088	35.3553495690228
0.08	40.0001448041908	35.8330837080818	61.7706591393505	60.8405635884277
