Var1	Var2
15	5
-3.46730517962545	-10
-5	-10.8597238574376
-6.33737942006948	-10
-5	-8.99048950656756
-3.46730517962545	-10
20	8
0.0927501731696161	-20
-5	-15.5068462767308
-13.5664051500632	-10
-5	-3.5337154436449
4.8174718450876	-10
5	-10.2310177759833
15	-14.6605938632355
18.6491001652499	-20
20	3
32.2284647286413	-20
35	-12.0727169132853
37.7222418271303	-20
20	5
45	17.5653738363034
35	17.9430358200182
32.292573974136	20
35	24.0265424555708
45	25.5459670452446
20	9
-1.59634109073777	30
4.34527391340155	20
5	15.0292798059563
5.3388869359875	10
5	9.46529689434645
3.37606451773462	10
-5	12.677297915419
-8.70854536624357	20
-10.7732337334791	30
20	4
27.8450717138756	30
25	28.2034010838995
15	26.5156892675079
12.0133967240122	30
20	5
33.1938127121869	-10
25	-13.1261671071731
20.2443719440395	-10
25	-3.27519579644443
33.1938127121869	-10
20	5
19.5660975467904	0
15	-2.70665146065268
12.3790589890627	0
15	1.8069668090121
19.5660975467904	0
25	2
-5.21446531199852	-20
-15	-13.4653779793802
25	3
27.8872783570297	-20
25	-17.2543728597499
22.4632489292115	-20
25	5
-15	-5.88418257430837
-7.35171469376526	0
-13.0407430119986	10
-14.0418164670715	20
-15	23.7799902814366
25	3
45	-7.93533353908532
44.2312974791262	-10
41.9862175528933	-20
25	11
45	13.6011137841017
35	15.2601518076011
28.7612971194965	20
25	24.231075197369
15	22.1273335853045
11.6242998148778	20
12.2141734331929	10
15	7.63750104413882
25	1.87101338336593
35	1.19638431833663
45	2.26908145828142
25	3
1.94149067702481	30
5	25.238925570042
8.25188448733111	30
25	3
34.1355976163367	30
35	29.2783336556804
37.1331286273146	30
30	2
-11.6875120110088	-20
-15	-17.7879740202197
30	3
-15	-0.750250225521704
-14.0248215952865	0
-15	1.51527248787965
30	9
17.5450439982879	10
25	4.83529982534431
35	5.68657407477447
44.1294267687504	10
35	12.5772677951841
25.230020264857	20
25	20.2587493108385
23.8776475837002	20
17.5450439982879	10
35	5
21.8238257773084	10
25	7.79958626732269
34.4963803874629	10
25	14.4259558084176
21.8238257773084	10
