x	EM: Gaus	EM: t	EM: Huber
0	10.278955768499	40.8669228212217	8.92809371592638
0.02	33.8781563882005	16.6087724418925	10.1664390941154
0.04	35.4224513195793	34.2690945562695	18.3215306860332
0.06	34.2890064546325	29.7625190201824	33.5801465379151
0.08	35.4020564997995	49.3747598364102	35.8330837080818
