Var1	Var2
11	3
34.4532036523917	-20
35	-19.5423198452058
35.3694993975282	-20
12	3
31.6893579049615	-20
35	-17.2289222611802
37.2371770859458	-20
12	3
6.80397810133074	30
5	29.2234968724844
2.75178574481941	30
12	5
37.9311092022575	20
35	18.9857132282042
34.1613721560409	20
35	21.0006160526602
37.9311092022575	20
13	3
28.9255121575314	-20
35	-14.9155246771547
39.1048547743634	-20
13	4
13.7016062778534	30
5	26.2544864130123
-5	29.5611624391729
-5.22027017547154	30
13	5
-3.99954408490773	-10
-5	-11.7581741883133
-6.51964751852042	-10
-5	-7.7104349427366
-3.99954408490773	-10
13	5
42.4648136667948	20
35	17.4168612515975
32.8642213036215	20
35	22.5483227917129
42.4648136667948	20
14	3
4.54199404334349	-20
5	-19.7975469223112
6.24174432698384	-20
14	3
26.1616664101012	-20
35	-12.6021270931291
40.972532462781	-20
14	3
-15	11.2850236313813
-11.0783385515128	10
-15	6.13373391946314
14	5
45	15.2190598118138
35	15.8480092749908
31.5670704512021	20
35	24.0960295307655
45	28.98772013216
14	5
20.8792769938859	30
15	28.0528628741021
5	23.2854759535403
-5	25.0937354596563
-7.4626509845109	30
14	5
-2.56751972143544	-10
-5	-14.274775104867
-8.69482809128032	-10
-5	-4.43321613249683
-2.56751972143544	-10
15	6
-15	-16.9625240131025
-10.8700086640402	-10
-5	-1.15599732225707
-1.13549535796316	-10
-5	-16.7913760214207
-11.0618036648984	-20
15	12
0.347680039077564	-20
5	-17.9435278498176
15	-18.7814295455633
21.5992235176333	-10
25	-4.84231830086337
32.8826066870144	0
35	0.731383902669993
43.4019321293736	10
35	14.2791572983841
30.2699195987827	20
35	25.6437362698182
42.4758317388405	30
15	2
45	-13.052158351923
42.8402101511986	-20
15	3
-15	13.1279377442282
-5.45409550046827	10
-15	0.588936026382269
15	6
26.3280469741439	30
25	29.0407876230066
15	25.654208555805
5	20.3164654940682
-5	20.6263084801396
-9.70503179355026	30
15	5
33.7241805179989	-10
35	-10.2887295091035
36.9722720709205	-10
35	-6.3296161608611
33.7241805179989	-10
16	3
-15	-13.2955073685856
-13.0451892368001	-10
-15	-4.98632306016886
16	3
-3.84663396518837	-20
-5	-19.3079769379744
-6.3073853345191	-20
16	2
45	-19.0603025405686
44.7078878396162	-20
16	3
-15	14.970851857075
-7.39585822598901	20
-11.9474126025896	30
16	3
29.4090450427125	30
35	27.1914430088708
39.8197953097182	30
16	17
0.296529005509132	-10
5	-16.0895087773241
15	-13.4790090770479
17.6144670865023	-10
23.0818828067006	0
25	0.299385311087228
35	4.12950312819977
40.3215621150577	10
35	12.7103053217773
28.9727687463633	20
25	26.8154661257992
15	23.2555542375079
8.96956212951771	20
5	11.8450455785022
3.19748678912533	10
1.59692569567114	0
0.296529005509132	-10
17	3
-15	16.8137659699219
-10.1823699359548	20
-14.189793411629	30
17	3
32.4900431112811	30
35	28.7391497479235
37.1637588805959	30
17	5
1.72855336898142	-10
5	-14.2354897048305
13.6916516801893	-10
5	-2.25752601411782
1.72855336898142	-10
17	11
9.10252828844388	10
15	1.24186446293074
25	1.805825266613
35	7.52762235372955
37.2411921007419	10
35	11.1414533451706
27.6756178939439	20
25	24.5901446285918
15	20.8568999192108
13.4127182817332	20
9.10252828844388	10
18	3
-15	18.6566800827687
-12.9688816459206	20
-15	25.3298713047802
18	5
3.16057773245371	-10
5	-12.3814706323369
9.8870177158655	-10
5	-5.64667235574148
3.16057773245371	-10
18	9
14.2443962591447	10
15	8.87787847091161
25	3.31226522213878
34.421825417907	10
26.3784670415244	20
25	22.3648231313843
18.7688553195645	20
15	11.8608267456139
14.2443962591447	10
19	5
4.592602095926	-10
5	-10.5274515598433
6.08238375154172	-10
5	-9.03581869736514
4.592602095926	-10
19	7
16.9873104152514	10
25	4.81870517766455
32.2995202226548	10
25.081316189105	20
25	20.1395016341769
24.632422884326	20
16.9873104152514	10
20	5
19.3169666412698	10
25	6.32514513319033
30.1772150274027	10
25	17.2242126561629
19.3169666412698	10
21	5
21.6466228672881	10
25	7.8315850887161
28.0549098321505	10
25	14.2627779908786
21.6466228672881	10
22	5
23.9762790933065	10
25	9.33802504424187
25.9326046368984	10
25	11.3013433255944
23.9762790933065	10
