Var1	Var2
50	16
-15	0.29883403818737
-10	4.07874139139754
-9.0688400144926	5
-5.47297944249291	10
-5	10.7619678691678
-1.01630064533543	15
0	17.8729291622314
1.97773258181163	20
5	21.5294851669458
10	22.1982756886992
15	20.7278651802701
20	24.1814859006878
25	24.9421980300066
25.0885058122042	25
25	25.2109213770593
24.1893246442255	30
50	20
45	13.3803338033373
40	12.714579584308
36.2834961349565	10
35	9.00984890313525
30	7.04680911776493
25	5.86790135625573
24.1244695625462	5
22.9270734623211	0
20	-2.29065082544909
18.0567248095823	-5
17.0501313200164	-10
15	-12.8708309028428
12.8915354144394	-15
10	-17.4460437284719
5	-18.239295054543
1.66291678348044	-15
0	-13.1610414008049
-5	-12.4102188031502
-10	-12.6509457218577
-15	-13.9967936889393
100	11
-15	1.46724700907364
-11.1137538182879	5
-10	7.07707563096782
-7.51274239353114	10
-5	14.0480173034058
-4.10514768718153	15
-1.73073772870588	20
-1.24455724063927	25
0	26.6517495373469
5	26.2025300935554
8.57953061577893	30
100	13
45	10.0813511008012
44.4322771305068	10
40	8.671508273446
35	5.45918749621889
33.9856744551202	5
30	0.880375223295453
29.3713815806723	0
28.1207150163026	-5
25	-6.81269285245491
21.32813664172	-10
20	-11.8591837229552
18.2315711171419	-15
15.5922078252084	-20
100	5
11.6958956799627	25
15	22.8419852388937
17.6605644768935	25
15	28.3345765367375
11.6958956799627	25
150	9
45	-7.70516796798261
40	-6.30465531807723
35	-6.87650205602654
32.2222759744054	-10
32.7875437443308	-15
30	-15.8695554296904
25	-18.2405478353411
20	-19.9601092144303
19.9759667761831	-20
150	9
-15	2.63565997995991
-12.3990801511598	5
-10	9.47412241097666
-9.55250534456938	10
-6.87608410956196	15
-5	18.1178340620311
-4.01887211820566	20
-4.32653356839266	25
-0.722155961166314	30
150	5
14.9327934735603	25
15	24.9561052975174
15.0541167225794	25
15	25.067826340961
14.9327934735603	25
200	8
45	-12.6576469556275
42.1557117162598	-10
40	-8.89752464609168
37.7350572238088	-10
37.9696825379764	-15
35	-18.581956212269
30	-18.8878291516409
28.4290580629277	-20
200	9
-15	3.80407295084618
-13.6844064840317	5
-11.109627745889	10
-10	14.0515784974855
-9.51735611236355	15
-7.99840815964494	20
-10	21.888223490229
-11.2434211330747	25
-13.2446442721364	30
200	3
-5.42517185896391	30
-5	29.5637608439342
-4.70265641019435	30
250	7
-15	4.97248592173245
-14.9697328169036	5
-12.5311077638936	10
-11.5870054441038	15
-11.7790164358006	20
-13.2221315947007	25
-15	28.0693578597113
300	5
-15	7.8496261361393
-13.9525877818981	10
-13.5288466618461	15
-14.654484761643	20
-15	22.7104355410016
