Var1	Var2
50	6
45	3.47849933954826
35	3.48926745995741
29.8818143521904	0
25	-1.98817434797902
17.9719628143788	-10
19.3223169610616	-20
50	3
-15	11.8388903165973
-5.92116522320117	20
-5.91160319888568	30
50	3
11.2674734072915	30
15	25.9647019750061
21.8780060937899	30
100	2
45	-15.1921152342655
39.5877573524156	-20
100	3
-15	16.9634489874718
-11.6219857343505	20
-8.02934039653658	30
100	5
22.2441091255509	-10
25	-14.8424020587067
29.8954550431829	-10
25	-6.85833802256262
22.2441091255509	-10
150	2
-15	21.5096312811212
-10.1470775941875	30
200	2
-15	25.2146914807662
-12.2648147918384	30
250	2
-15	28.9197516804112
-14.3825519894893	30
